user_id,transaction_date,order_id,order_revenue
79509844.1081277926,2020-11-23,203586,70.0
79509844.1081277926,2020-11-23,203586,70.0
79509844.1081277926,2020-11-23,457343,70.0
79509844.1081277926,2020-11-23,457343,70.0
79509844.1081277926,2020-11-23,959466,70.0
90441331.9685487571,2020-11-23,59508,70.0
90441331.9685487571,2020-11-23,59508,70.0
56981615.2873969327,2020-11-23,168315,66.0
56981615.2873969327,2020-11-23,168315,66.0
5216629.5530468973,2020-11-23,532992,64.0
5216629.5530468973,2020-11-23,532992,64.0
43627350.3807676886,2020-11-23,928164,59.0
43627350.3807676886,2020-11-23,928164,59.0
40858438.6822938539,2020-11-23,300212,57.0
40858438.6822938539,2020-11-23,300212,57.0
3644566278.6602625320,2020-11-23,697919,57.0
3644566278.6602625320,2020-11-23,697919,57.0
7580278.4231956908,2020-11-23,798745,56.0
7580278.4231956908,2020-11-23,798745,56.0
54535436.2028528496,2020-11-23,708978,55.0
54535436.2028528496,2020-11-23,708978,55.0
1405049.6223660087,2020-11-23,2452,55.0
1405049.6223660087,2020-11-23,2452,55.0
73424628.5901378284,2020-11-23,141033,55.0
73424628.5901378284,2020-11-23,141033,55.0
65301301.6829526920,2020-11-23,382582,50.0
65301301.6829526920,2020-11-23,382582,50.0
5788753.6504747065,2020-11-23,852711,48.0
5788753.6504747065,2020-11-23,852711,48.0
54535436.2028528496,2020-11-23,845946,47.0
54535436.2028528496,2020-11-23,845946,47.0
16580886.1809823695,2020-11-23,21473,46.0
16580886.1809823695,2020-11-23,21473,46.0
27700391.5760431214,2020-11-23,179828,44.0
27700391.5760431214,2020-11-23,179828,44.0
5996776.4076510130,2020-11-23,230733,42.0
5996776.4076510130,2020-11-23,230733,42.0
47567788.3779803485,2020-11-23,179007,38.0
47567788.3779803485,2020-11-23,435477,38.0
47567788.3779803485,2020-11-23,179007,38.0
47567788.3779803485,2020-11-23,435477,38.0
47567788.3779803485,2020-11-23,462095,38.0
47567788.3779803485,2020-11-23,998417,38.0
47567788.3779803485,2020-11-23,443137,38.0
47567788.3779803485,2020-11-23,998417,38.0
47567788.3779803485,2020-11-23,351216,38.0
