user_id,transactional_velocity
3691687.9126020150,2
21242720.7094333523,2
84089063.5523557782,2
6070906.8817356972,2
18829536.8717481088,2
75571709.1157982540,2
11963630.4081960728,2
1158637.0383647084,2
1996506.7082614036,2
85684311.8708196319,2
13965501.3079306644,2
35563232.0919900786,2
77283283.8065996514,2
70092642.2710325772,2
4022774245.7650545822,2
49793755.7550891425,2
58442179.0715020466,2
99387700.1672480666,2
17321543.6104652631,2
9067917.4467737421,2
84232431.7456081587,2
4108803108.5870431970,2
43167694.9021346768,2
7468279.0238776028,2
67251653.8910982513,2
81507474.7124670126,2
3388152.7416415006,2
4570994.5660099908,2
4296769.0350898725,2
84389355.3658704825,2
1874599.7824854030,2
1513222.1542392261,2
28182246.9243158427,2
30956870.6460404440,2
3680421.4213771360,2
3526931.3784502135,2
1451078.8215732025,2
5671461926.8532720409,2
88260882.4631526417,2
6578204.1614469741,2
2669656.5276416328,2
8893175.3937909394,2
6775372.4463471076,2
1706011.8461395358,2
73744073.0825120998,2
91694984.1982284598,2
47832970.6690268280,2
3297728.5602497021,2
17453487.1522301419,2
5817047.8350669320,2
68441141.3197623367,2
14670836.5443476050,2
1881053.8413916911,2
1298332.8805790276,2
73143977.4968623389,2
21679259.2288048672,2
5550109.1370911778,2
5299488.0522490006,2
1112480.2331977019,2
3632663.7723787409,2
9191614969.9586626915,2
75294747.2712173356,2
2651197.1532552824,2
67504810.2599834553,2
27314189.0356814830,2
2242838.1990850485,2
35315894.9355065326,2
83240333.3705200960,2
62972640.1817910937,2
90591201.2047859379,2
