user_id,lifetime_value,source,medium,campaign
81834479.5125091790,359.0,(direct),(none),(direct)
38139183.3747160528,276.0,google,organic,(organic)
2321760.0432411967,225.0,(direct),(none),(direct)
2275313.5266564172,394.0,(direct),(none),(direct)
11495471.0749512812,465.0,google,organic,(organic)
5175868.5309206965,256.0,(direct),(none),(direct)
84636323.8110704850,237.0,(direct),(none),(direct)
38970589.1095437937,477.0,(direct),(none),(direct)
3188737051.8836428627,223.0,(direct),(none),(direct)
5558273.2492198100,305.0,<Other>,referral,(referral)
11174427.4523965634,209.0,(direct),(none),(direct)
57471045.2261985947,326.0,<Other>,<Other>,<Other>
3310339.4446432370,237.0,google,organic,(organic)
54535436.2028528496,204.0,google,organic,(organic)
9073224.2742948399,384.0,(direct),(none),(direct)
7254379.8573622074,318.0,(direct),(none),(direct)
73427198.7537900210,314.0,<Other>,<Other>,<Other>
88827381.9303945281,669.0,(data deleted),(data deleted),(data deleted)
4229717.4815659011,209.0,google,organic,(organic)
3529297.9210463119,206.0,google,cpc,<Other>
7750159.6505312378,207.0,shop.googlemerchandisestore.com,referral,(referral)
83739349.8729103328,259.0,google,cpc,<Other>
1415699.2356865981,416.0,google,cpc,<Other>
40953348.8523432987,375.0,google,organic,(organic)
3630058.7076110762,214.0,google,organic,(organic)
58104072.2659495100,257.0,google,organic,(organic)
12545442.9053678590,280.0,<Other>,<Other>,<Other>
41474740.1017155695,904.0,<Other>,referral,(referral)
3018471.2187154322,354.0,<Other>,<Other>,<Other>
87100826.2061583108,605.0,(data deleted),(data deleted),(data deleted)
4707239.1008432127,252.0,(direct),(none),(direct)
71563215.6886463640,320.0,(data deleted),(data deleted),(data deleted)
7771300.1338167684,219.0,<Other>,<Other>,<Other>
3327202.0943712796,378.0,shop.googlemerchandisestore.com,referral,(referral)
7680193331.8740202405,443.0,<Other>,<Other>,<Other>
27683683.6299831306,229.0,(data deleted),(data deleted),(data deleted)
1624875.9469354174,231.0,google,organic,(organic)
64681465.6816600292,277.0,(direct),(none),(direct)
5084920.8860557208,292.0,shop.googlemerchandisestore.com,referral,(referral)
86226481.4357835444,270.0,google,organic,(organic)
5645225.6917653454,1121.0,google,organic,(organic)
7722668.2787414860,324.0,(direct),(none),(direct)
62041179.6162419229,207.0,google,organic,(organic)
3041494.0908353891,272.0,google,organic,(organic)
7453835.7513761923,218.0,(data deleted),(data deleted),(data deleted)
5607144.6246327246,284.0,<Other>,<Other>,<Other>
6445892.8785219212,284.0,(direct),(none),(direct)
39602761.4128729087,376.0,google,organic,(organic)
30859745.1125051499,214.0,(direct),(none),(direct)
4976040.5511752417,228.0,google,cpc,<Other>
43678268.2433515488,446.0,<Other>,<Other>,<Other>
28916400.9213822241,239.0,shop.googlemerchandisestore.com,referral,(referral)
53887436.1726083498,219.0,(direct),(none),(direct)
78499362.4704274874,540.0,google,organic,(organic)
27754794.4046505931,238.0,google,organic,(organic)
2768703.4866675938,704.0,<Other>,organic,(organic)
12306432.7939489449,1170.0,(data deleted),(data deleted),(data deleted)
47515634.0452819199,211.0,(data deleted),(data deleted),(data deleted)
42744232.1088543265,270.0,(data deleted),(data deleted),(data deleted)
4484520.5210961028,752.0,google,organic,(organic)
5373799.6097004022,462.0,(direct),(none),(direct)
8354945.6306403663,216.0,(data deleted),(data deleted),(data deleted)
51248671.8133898155,998.0,<Other>,referral,(referral)
47567788.3779803485,456.0,<Other>,referral,(referral)
6044369.0763862711,206.0,<Other>,referral,(referral)
8579252.3506286297,330.0,shop.googlemerchandisestore.com,referral,(referral)
12916310.0404298738,227.0,(direct),(none),(direct)
2972042.1160295830,449.0,<Other>,<Other>,<Other>
34566418.3175234997,272.0,<Other>,<Other>,<Other>
81036435.1157569602,1530.0,(direct),(none),(direct)
72275845.1755516158,395.0,(direct),(none),(direct)
7479349.1949480609,364.0,(direct),(none),(direct)
98020186.6825178467,274.0,google,organic,(organic)
1393292.7340025556,210.0,(direct),(none),(direct)
62921407.7385261228,282.0,google,organic,(organic)
6266986.5618192324,235.0,(direct),(none),(direct)
5579251.3024079662,208.0,google,organic,(organic)
3883375.8924071243,517.0,google,organic,(organic)
53769790.5488226810,217.0,<Other>,referral,(referral)
51608821.0291355400,490.0,<Other>,referral,(referral)
