user_id,absolute_purchase_count,average_order_value
78331614.5702890138,1,236.0
14319429.3848600934,1,235.0
79260143.2564567739,1,233.0
7534419.7933326516,1,231.0
1624875.9469354174,1,231.0
47512557.1077158577,1,231.0
5516326.8444687928,1,230.0
4976040.5511752417,1,228.0
12916310.0404298738,1,227.0
6961058.7244207405,1,226.0
7193125.5982849186,1,226.0
2563148.0852215497,1,224.0
28750238.4461447574,1,224.0
38120148.2885726823,1,223.0
74351856.8000104870,1,223.0
29271335.8588196561,1,221.0
1395824.1622992884,1,220.0
53887436.1726083498,1,219.0
7748359.5667737603,1,219.0
45408917.7275708611,1,218.0
24207018.3974015161,1,217.0
40919582.2188794043,1,216.0
58603767.6719650157,1,216.0
3291666.2185697988,1,216.0
3630058.7076110762,1,214.0
30859745.1125051499,1,214.0
32328904.6840270281,1,214.0
82604808.5833749347,1,214.0
87326376.7596593080,1,212.0
30675676.3150878065,1,212.0
27701936.3565936806,1,211.0
47515634.0452819199,1,211.0
88361744.4940705869,1,210.0
8859594.9308619893,1,210.0
11174427.4523965634,1,209.0
4229717.4815659011,1,209.0
7125962.1798454198,1,208.0
5579251.3024079662,1,208.0
1063363.8922941272,1,208.0
62041179.6162419229,1,207.0
3529297.9210463119,1,206.0
42583182.3977693374,1,205.0
12411444.0410367159,1,204.0
4376619.9958221943,1,204.0
1961021.4251862365,1,203.0
71773191.3267798855,1,203.0
70285128.0156104398,1,202.0
53379384.0448742187,1,200.0
70532365.4711674582,1,199.0
7147579.2005144402,1,199.0
6034317.4561707953,1,199.0
3135759.6931516852,1,198.0
9431683.5830577678,1,198.0
2448440.0955846512,1,198.0
44822468.0260411018,1,197.0
54134313.7729355877,1,194.0
2766869.1150503520,1,194.0
76219348.8581271685,1,194.0
47320569.5663739973,1,194.0
12852776.3686074468,1,193.0
32820105.2111076078,1,193.0
35949966.2815169272,1,193.0
40419717.4317588714,1,192.0
31434781.7401740396,1,192.0
36794743.0115266107,1,192.0
90732736.8391346787,1,192.0
8224884.5817385201,1,191.0
8631746.0136342760,1,191.0
628363132.9737513033,1,191.0
6456054.7140086813,1,190.0
1983361950.0406778458,1,190.0
12174342.2198928658,1,189.0
9162399.0802989525,1,189.0
7252675.9081491443,1,188.0
49777952.2680869968,1,188.0
4958713.6586294189,1,188.0
40215313.8233626662,1,188.0
80123648.0068941500,1,188.0
68044065.2390765612,1,185.0
80606681.4991751112,1,185.0
70274582.7964868916,1,185.0
2543812.1952863671,1,185.0
49129255.3105543415,1,185.0
1822000.8128019496,1,185.0
13889156.1708430041,1,184.0
1593060.9903989741,1,184.0
62739166.8660781806,1,184.0
2994751.6580189667,1,183.0
84647660.6681637188,1,183.0
1014825.0200289249,1,183.0
5401870.8880744857,1,182.0
65347516.5438714743,1,182.0
57810963.2944308437,1,182.0
7191442.1007439176,1,182.0
30015563.8542768971,1,181.0
71216083.8823170998,1,181.0
7307937.9736138181,1,180.0
64740644.1898496568,1,179.0
1470110.5021681506,1,178.0
56346352.5809156833,1,178.0
5542571.2196139050,1,178.0
36739590.6951379629,1,178.0
2272379.8750640009,1,177.0
5028681.2169404320,1,177.0
7019543.7153257093,1,177.0
49763131.6438442163,1,177.0
37354985.1803131889,1,177.0
38420537.7216639441,1,177.0
81824760.1222124625,1,177.0
53709875.3635794172,1,176.5
6134557.2662121134,1,176.0
33063796.1679893984,1,176.0
6072463.1803217592,1,176.0
8086948.1354933724,1,176.0
3282203.4038192177,1,176.0
4425556.0061611363,1,176.0
53168426.9247441890,1,176.0
85089615.0421191291,1,176.0
40103327.3649897811,1,176.0
7487454.9043521164,1,175.0
6176511.0161757198,1,175.0
17829165.8694191080,1,175.0
26218636.4439892320,1,175.0
1525779.2780994637,1,175.0
68179423.3220502588,1,175.0
3030394.7459625087,1,174.0
32903632.0574579540,1,174.0
2526035958.7467790703,1,174.0
23631351.0257452991,1,174.0
1817516.7864464285,1,174.0
3211830.1153763654,1,174.0
4070503.9473605760,1,173.0
64212254.2445190855,1,173.0
28635254.0781084583,1,173.0
4553520.4581207598,1,173.0
7770092.5618500764,1,172.0
70870420.8943424184,1,172.0
3198843.0611848527,1,171.0
7128823.1776740707,1,170.0
62091849.9050525976,1,170.0
67522359.2848039358,1,169.0
2420798.4492731250,1,169.0
35699842.0182681912,1,169.0
4537449.6402312251,1,168.0
2701051.6884497528,1,168.0
81335886.8473727587,1,168.0
44356964.3056281867,1,168.0
8204448.9073098218,1,168.0
8839256339.1323107592,1,167.0
4325314.4909952472,1,167.0
50183692.6751135595,1,167.0
5889305.1596594172,1,166.0
1773468.6321288380,1,166.0
65163016.2468447960,1,166.0
8376952.2180638236,1,166.0
