user_id,recency_days,frequency_count,total_monetary_spend,rfm_combined_code,customer_lifecycle_status
9038823.9978976976,63,1,37.0,424,STANDARD CONVERTED CUSTOMER
85629786.1702442200,12,1,33.0,114,HIBERNATING / LOST
23023007.7963340657,7,1,22.0,124,HIBERNATING / LOST
4738947.9438471560,53,1,21.0,344,STANDARD CONVERTED CUSTOMER
3181213.5173298187,46,1,16.0,255,AT RISK - NEED RETENTION
41219861.0962256916,67,1,16.0,425,STANDARD CONVERTED CUSTOMER
11106892.6823829951,61,1,14.0,445,CHAMPIONS / ELITE
7351481.8873053183,40,1,13.0,235,AT RISK - NEED RETENTION
30687601.7675908534,23,1,12.0,235,AT RISK - NEED RETENTION
44227277.9722264913,40,1,11.0,245,AT RISK - NEED RETENTION
8846133.3726396176,4,1,0.0,125,HIBERNATING / LOST
85143797.2924753997,3,1,0.0,155,AT RISK - NEED RETENTION
5632809.7175073069,64,1,0.0,445,CHAMPIONS / ELITE
18210686.3272655150,53,1,551.0,331,STANDARD CONVERTED CUSTOMER
1440737.0883647632,86,1,450.0,521,STANDARD CONVERTED CUSTOMER
43678268.2433515488,53,1,446.0,321,STANDARD CONVERTED CUSTOMER
5299488.0522490006,80,2,390.0,511,STANDARD CONVERTED CUSTOMER
3630058.7076110762,21,1,214.0,151,AT RISK - NEED RETENTION
81632350.4358345762,45,7,210.0,211,STANDARD CONVERTED CUSTOMER
5542571.2196139050,52,1,178.0,331,STANDARD CONVERTED CUSTOMER
6567766382.8954640880,68,1,156.0,421,STANDARD CONVERTED CUSTOMER
8043833.5057848398,58,2,140.0,411,STANDARD CONVERTED CUSTOMER
90441331.9685487571,69,1,140.0,431,STANDARD CONVERTED CUSTOMER
64797298.8608140430,78,1,133.0,531,STANDARD CONVERTED CUSTOMER
33154801.3376023064,58,1,129.0,451,STANDARD CONVERTED CUSTOMER
28284205.9810024272,40,1,102.0,232,AT RISK - NEED RETENTION
59568325.0734810744,41,2,92.0,212,STANDARD CONVERTED CUSTOMER
55876955.1461572499,44,1,79.0,252,AT RISK - NEED RETENTION
2638531.4937946565,63,1,78.0,432,STANDARD CONVERTED CUSTOMER
7070291.4775984721,41,1,74.0,232,AT RISK - NEED RETENTION
11766732.8000293665,59,1,66.0,443,STANDARD CONVERTED CUSTOMER
71727250.2189553207,74,1,61.0,533,STANDARD CONVERTED CUSTOMER
1994473.4179397065,46,1,60.0,243,AT RISK - NEED RETENTION
16533293.5005173202,74,1,55.0,523,STANDARD CONVERTED CUSTOMER
12289461.3486454330,40,1,48.0,243,AT RISK - NEED RETENTION
8922626.4347602444,5,3,42.0,113,HIBERNATING / LOST
3694504.8835378753,54,1,41.0,333,STANDARD CONVERTED CUSTOMER
71887902.6884854131,38,1,39.0,244,AT RISK - NEED RETENTION
43046171.3957940556,75,1,38.0,544,CHAMPIONS / ELITE
6715131.8917852498,57,1,34.0,444,CHAMPIONS / ELITE
43988972.6002488363,8,1,34.0,144,AT RISK - NEED RETENTION
4397356.7184930279,11,1,34.0,124,HIBERNATING / LOST
39845693.8115714569,17,1,32.0,154,AT RISK - NEED RETENTION
5913077.9676627457,17,1,31.0,144,AT RISK - NEED RETENTION
91174078.7673253115,20,1,31.0,114,HIBERNATING / LOST
